No;ID_cliente;Departamento ;Sexo;Jubilado;Socio;Empleado;Meses_alta;Servicio_telefonico;Lineas_multiples;Servicio_Internet;Seguridad_Online;CopiaSeguridad_Online;Proteccion_dispositivo;Soporte_tecnico;Television_carta;Peliculas_carta;Contrato;Factura_digital;Metodo_pago;Gasto_mensual;Gasto_total;Abandono;meses_alta_cut
1;7590-VHVEG;Huila;Female;0;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;29.85;29.85;No;<1
2;5575-GNVDE;Bogotá;Male;0;No;No;34;Yes;No;DSL;Yes;No;Yes;No;No;No;One year;No;Mailed check;56.95;1889.5;No;18-42
3;3668-QPYBK;Bogotá;Male;0;No;No;2;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;53.85;108.15;Yes;1-jun
4;7795-CFOCW;Santander;Male;0;No;No;45;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;One year;No;Bank transfer (automatic);42.3;1840.75;No;42-60
5;9237-HQITU;Huila;Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70.7;151.65;Yes;1-jun
6;9305-CDSKC;Santander;Female;0;No;No;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99.65;820.5;Yes;jun-18
7;1452-KIOVK;Atlántico;Male;0;No;Yes;22;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);89.1;1949.4;No;18-42
8;6713-OKOMC;Santander;Female;0;No;No;10;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;29.75;301.9;No;jun-18
9;7892-POOKP;Atlántico;Female;0;Yes;No;28;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104.8;3046.05;Yes;18-42
10;6388-TABGU;Bogotá;Male;0;No;Yes;62;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;No;Bank transfer (automatic);56.15;3487.95;No;60+
